experiment,run,final_train_loss,final_train_accuracy,final_train_f1,best_val_loss,best_val_accuracy,best_val_f1,test_accuracy,test_f1,test_precision,test_recall,training_time
transformer,run_20260316_132840,0.2121329520602484,0.9035790573500417,0.9217111580978137,0.0780223386362195,0.9677251689230998,0.9727025329704836,0.9683381390226095,0.9731612267055497,0.9665656028922993,0.9798474830478041,88.27069807052612
transformer_no_attention,run_20260316_133015,0.3510649226807259,0.839230806968508,0.8757660178547094,0.12678650319576262,0.9462354280622726,0.9558227622848717,0.9467125372801861,0.956146693688831,0.9231200346102415,0.9916242421681911,23.23882269859314
transformer_no_mask,run_20260316_133040,0.24806330836302526,0.8864017565795492,0.9091252369320129,0.10181925091892481,0.9579857931341732,0.965248989201085,0.9585184451842044,0.9656035791979641,0.9388781354139645,0.9938950970658442,84.55079174041748
ann,run_20260316_133209,0.16422138564489983,0.9295485373107414,0.9422852996637093,0.05629711169749498,0.97539167883573,0.9791054813304823,0.975583798433304,0.9792344205529769,0.9757939338003944,0.9826992543146243,4.0842626094818115
cnn,run_20260316_133215,0.12518586780171137,0.9481260101857217,0.9567749897525248,0.07017553681507707,0.9701445437220009,0.974190545983621,0.9699592857054463,0.9739782929116977,0.988715627278366,0.9596738418640022,7.861161708831787
lstm,run_20260316_133224,0.5909358217909529,0.6646349144051986,0.767752563233779,0.3710779383778572,0.8341521669182982,0.8626395871449144,0.8370190701300629,0.8646927075841946,0.8417241724172417,0.888949914446862,8.098442554473877
transformer,run_20260316_141422,0.20826575976361153,0.9213101866179143,0.9109638389806328,0.20918433864911398,0.9216239363772871,0.9113998361471459,0.9217013862626612,0.9114863627859067,0.9540106084821532,0.8725913157362557,33169.95013546944
transformer_no_attention,run_20260316_232857,0.2214407953944629,0.9182456188522019,0.9073716709609813,0.2214387600430591,0.91870530003893,0.9075217530377323,0.9189353566830069,0.9077107839338365,0.9574688164850278,0.8628689463902237,9356.930846452713
transformer_no_mask,run_20260317_020527,0.20878434856158595,0.9209151983073945,0.9105580286912494,0.21042920472626261,0.9212266281074467,0.9110356620105851,0.9210335705317522,0.9108140933098636,0.9523427229997614,0.8727559874040619,29698.63836145401
ann,run_20260317_102143,0.21115087736681634,0.9204337377792448,0.9099050432033993,0.20987322503100328,0.9209040654023691,0.9104696042448098,0.9208306898033748,0.9100905193430463,0.9573628289421232,0.8672669318105216,1770.3524377346039
cnn,run_20260317_105130,0.20917671476663532,0.9211439158929453,0.9107493070005221,0.20930763460247895,0.9212577720927646,0.9109940008217501,0.9211621506425002,0.9104863495193891,0.9575501469503811,0.8678322082374353,1827.4299139976501
lstm,run_20260317_112217,0.22349332295116714,0.9169663639281002,0.9059176109747178,0.22024413948719185,0.918115343974195,0.9071561561425523,0.9172798321428921,0.906250598779146,0.9511702294310161,0.8653823560567395,2616.849441766739
